tyear_x,tmonth_x,period,allItemsYearOn,allItemsAverage,foodYearOn,foodAverage,allItemsLessFrmProdYearOn,allItemsLessFrmProdAverage,allItemsLessFrmProdAndEnergyYearOn,allItemsLessFrmProdAndEnergyAvg,tyear_y,tmonth_y,moneySupply_M3,cbnBills,moneySupply_M2,quasiMoney,narrowMoney,currencyOutsideBanks,demandDeposits,netForeignAssets,netDomesticAssets,netDomesticCredit,creditToGovernment,creditToGovernmentFed,mirrorAccounts,creditToPrivateSector,otherAssetsNet,baseMoney,currencyInCirculation,bankReserves,tyear,tmonth,crudeOilPrice,domProd,crudeOilExp,interBankCallRate,mpr,treasuryBill,savingsDeposit,oneMonthDeposit,threeMonthsDeposit,sixMonthsDeposit,twelveMonthsDeposit,primeLending,maxLending,day,quater,week_of_year,day_of_week,day_of_year,year,month_name_August,month_name_December,month_name_February,month_name_January,month_name_July,month_name_June,month_name_March,month_name_May,month_name_November,month_name_October,month_name_September
2025,6,2025-06-01,22.22,26.6,21.97,28.28,22.43,23.69,22.76,24.14,2025,6,117250742.74,10805.4,117239937.33,77375835.57,39864101.77,4493787.77,35370313.99,41467017.57,75783725.16,97787860.3,21662004.62,0.0,0.0,76125855.69,3187029.68,34659417.19,5007516.17,29651901.02,2025,6,73.5,1.51,1.06,25.14,27.5,17.9,7.52,10.02,10.77,9.03,11.55,18.19,29.51,1,2,22.0,6,152,2025,False,False,False,False,False,True,False,False,False,False,False
2025,5,2025-05-01,22.97,27.55,21.14,29.8,23.28,24.02,22.28,24.51,2025,5,119204429.68,13239.94,119191189.74,78679155.05,40512034.69,4633853.89,35878180.8,47802879.49,71401550.19,100955257.88,22988130.03,0.0,0.0,77967127.85,8294832.02,35879310.16,5014793.27,30864516.89,2025,5,65.9,1.45,1.0,26.57,27.5,19.07,7.53,10.42,10.18,10.81,10.51,18.01,29.84,1,2,18.0,3,121,2025,False,False,False,False,False,False,False,True,False,False,False
2025,4,2025-04-01,23.71,28.46,21.26,31.43,24.5,24.27,23.39,24.91,2025,4,119221650.16,22936.03,119198714.13,78218934.98,40979779.15,4568096.14,36411683.01,49791707.68,69429942.48,102002681.13,23934952.13,0.0,0.0,78067729.0,11679368.65,34735312.55,5014849.02,29720463.52,2025,4,69.07,1.49,1.04,26.54,27.5,18.34,7.5,10.2,11.4,13.82,11.31,18.32,30.11,1,2,14.0,1,91,2025,False,False,False,False,False,False,False,False,False,False,False
2025,3,2025-03-01,24.23,29.3,21.79,33.1,24.15,24.39,24.43,25.2,2025,3,115815194.96,20807.61,115794387.35,75814189.75,39980197.6,4597915.18,35382282.4,47637834.57,68177360.39,100570976.51,24589403.51,0.0,0.0,75981573.01,15797020.3,33526317.75,5002769.32,28523548.43,2025,3,74.44,1.4,0.95,28.09,27.5,17.41,7.5,10.34,11.19,14.3,11.39,17.96,30.19,1,1,9.0,5,60,2025,False,False,False,False,False,False,True,False,False,False,False
2025,2,2025-02-01,23.18,30.09,23.51,34.74,22.06,24.49,23.01,25.33,2025,2,110709524.82,10778.76,110698746.06,72986613.87,37712132.19,4515782.12,33196350.08,32532481.13,78177043.69,103369157.55,27111919.09,0.0,0.0,76257238.46,5140799.04,32606465.84,5037015.1,27569450.74,2025,2,77.08,1.47,1.02,31.03,27.5,17.48,7.51,10.1,11.54,13.59,9.73,18.35,30.5,1,1,5.0,5,32,2025,False,False,True,False,False,False,False,False,False,False,False
2025,1,2025-01-01,24.48,30.88,26.08,36.09,21.93,24.73,22.59,25.53,2025,1,111108773.42,10769.66,111098003.76,74169537.8,36766765.57,4737157.27,32191308.69,33188490.42,77920283.0,102406829.09,25029404.13,0.0,0.0,77377424.96,5732414.4,32664351.54,5235432.14,27428919.41,2025,1,80.76,1.54,1.09,28.58,27.5,18.0,7.5,10.31,11.99,14.44,14.0,18.49,29.79,1,1,1.0,2,1,2025,False,False,False,True,False,False,False,False,False,False,False
2024,12,2024-12-01,15.44,31.43,17.94,37.03,12.48,24.9,13.05,25.66,2024,12,113355072.02,17386.79,113337685.23,74523601.39,38814083.84,5125283.07,33688800.77,31961015.59,81394056.43,105162705.57,27140247.0,0.0,0.0,78022458.6,-1348731.92,32672828.4,5441159.98,27231663.42,2024,12,74.72,1.48,1.03,28.71,27.5,18.0,7.51,10.4,11.59,13.18,13.33,18.56,29.71,1,4,48.0,6,336,2024,False,True,False,False,False,False,False,False,False,False,False
2024,11,2024-11-01,34.6,32.77,39.93,38.67,27.87,25.91,28.75,26.64,2024,11,108966480.44,19796.18,108946684.26,72672756.9,36273927.36,4652527.74,31621399.62,17347112.78,91619367.66,115576757.67,39616629.91,0.0,0.0,75960127.77,12147461.96,30871571.25,4878125.22,25993446.02,2024,11,75.44,1.49,1.04,28.88,27.5,18.0,6.56,8.48,9.53,12.13,14.22,18.39,31.06,1,4,44.0,4,306,2024,False,False,False,False,False,False,False,False,True,False,False
2024,10,2024-10-01,33.88,32.26,39.16,38.12,27.42,25.48,28.37,26.12,2024,10,107999619.24,10797.22,107988822.02,73204528.58,34784293.44,4288141.2,30496152.24,20786785.89,87212833.35,113463677.29,39391214.35,0.0,0.0,74072462.95,13668236.43,30005705.16,4549217.51,25456487.65,2024,10,76.69,1.33,0.88,27.83,27.25,17.0,7.56,10.06,11.65,13.26,13.57,17.36,30.28,1,4,40.0,1,275,2024,False,False,False,False,False,False,False,False,False,True,False
2024,9,2024-09-01,32.7,31.73,37.77,37.53,26.49,25.08,27.43,25.64,2024,9,109411154.85,9409.49,109401745.36,73542912.31,35858833.05,4016510.71,31842322.34,19498793.94,89912360.91,115301488.41,39467247.32,0.0,0.0,75834241.09,12442393.55,28137041.63,4311072.27,23825969.35,2024,9,76.05,1.32,0.87,27.92,27.25,16.91,6.79,11.25,12.08,13.93,13.78,16.75,30.21,1,3,35.0,6,245,2024,False,False,False,False,False,False,False,False,False,False,True
